,1. open,2. high,3. low,4. close,5. volume,ticker
2023-01-27,2221.3908,2235.8979,2096.3583,2119.6149,2239410.0,RELIANCE.BSE
2023-01-20,2243.9674,2259.0185,2208.7425,2214.772,1658720.0,RELIANCE.BSE
2023-01-13,2306.3477,2361.9278,2207.6092,2237.1219,2026508.0,RELIANCE.BSE
2023-01-06,2318.316,2339.2606,2270.5788,2300.4996,1482326.0,RELIANCE.BSE
2022-12-30,2279.147,2336.4498,2261.2399,2310.4278,1367686.0,RELIANCE.BSE
2022-12-23,2342.842,2387.8592,2260.3785,2268.1307,1348962.0,RELIANCE.BSE
2022-12-16,2348.3275,2393.2086,2319.404,2325.7509,980476.0,RELIANCE.BSE
2022-12-09,2466.1518,2466.1518,2359.3438,2365.6452,1543986.0,RELIANCE.BSE
2022-12-02,2358.6184,2497.6593,2343.794,2468.5999,2121962.0,RELIANCE.BSE
2022-11-25,2343.794,2379.2909,2300.1822,2372.8534,1647526.0,RELIANCE.BSE
2022-11-18,2380.0616,2396.0647,2332.007,2355.173,11182218.0,RELIANCE.BSE
2022-11-11,2350.1408,2389.1285,2323.8468,2385.8191,1993106.0,RELIANCE.BSE
2022-11-04,2298.4595,2353.0876,2273.9789,2350.5489,2124546.0,RELIANCE.BSE
2022-10-28,2264.912,2297.5528,2206.1585,2290.2993,6335472.0,RELIANCE.BSE
2022-10-21,2134.9833,2291.206,2124.919,2241.2927,2776828.0,RELIANCE.BSE
2022-10-14,2184.2619,2192.1048,2126.6871,2149.7623,8905026.0,RELIANCE.BSE
2022-10-07,2173.3363,2221.3908,2142.9621,2206.2038,1253138.0,RELIANCE.BSE
2022-09-30,2179.6831,2199.4036,2097.673,2155.8371,2485872.0,RELIANCE.BSE
2022-09-23,2266.0,2300.4542,2207.9718,2211.7346,6660866.0,RELIANCE.BSE
2022-09-16,2333.5484,2383.2804,2258.7918,2266.0907,2046902.0,RELIANCE.BSE
2022-09-09,2293.9261,2363.6052,2293.9261,2328.9243,2035700.0,RELIANCE.BSE
2022-09-02,2330.1937,2405.721,2289.3926,2293.7447,4435058.0,RELIANCE.BSE
2022-08-26,2371.9014,2419.5026,2344.7007,2374.3948,1630414.0,RELIANCE.BSE
2022-08-19,2402.5475,2427.7535,2362.1998,2369.7254,1014248.0,RELIANCE.BSE
